source,title,url,budget_min,budget_max,currency,budget_usd_min,budget_usd_max,bids,posted,skills,type
freelancer,IT Business Acquisition Manager Hunt -- 2,https://www.freelancer.com/projects/sales/Business-Acquisition-Manager-Hunt,250000,500000,INR,2622,5244,0,2026-08-05 8:01,"Sales, Market Research, Financial Analysis, Account Management, Mergers and Acquisitions, Business Strategy, Business Consulting, Investment Management, Business Development, Negotiation Support",fixed
arbeitnow,Mathematics AI Training Expert (Germany),https://www.arbeitnow.com/jobs/companies/anyone-ai/mathematics-ai-training-expert-germany-berlin-356723,0,0,,0,0,0,2026-08-05 0:00,STEM,contract
freelancer,Mimari Kesit Autocad Çizimi,https://www.freelancer.com/projects/autocad/Mimari-Kesit-Autocad-izimi,250,750,USD,250,750,10,2026-08-05 7:45,"AutoCAD, 3D Modelling, Engineering Drawing, Drafting, Building Design, Building Information Modeling, 3D CAD, CAD Drafting Review",fixed
freelancer,Modern Luxury Leather Theme,https://www.freelancer.com/projects/woocommerce/Modern-Luxury-Leather-Theme,750,1250,INR,8,13,46,2026-08-05 7:48,"PHP, Website Design, SEO, Mobile App Development, WordPress, HTML, WooCommerce, Web Design",hourly
freelancer,Odoo Website Development Expert Needed,https://www.freelancer.com/projects/api-developmet/Odoo-Website-Development-Expert-Needed,750,1250,INR,8,13,26,2026-08-05 7:52,"PHP, Python, Website Design, Django, Software Architecture, Website Management, Odoo, Web Development, API Development, Content Management System (CMS)",hourly
arbeitnow,Outbound Operations Manager (Spanish required),https://www.arbeitnow.co.uk/jobs/companies/velo-solutions/outbound-operations-manager-spanish-required-london-258526,0,0,,0,0,0,2026-08-05 5:26,"Remote, Management, Team Leader",contract
freelancer,Part-Time Enterprise Software PM,https://www.freelancer.com/projects/agile-project-management/Part-Time-Enterprise-Software,30,50,EUR,35,58,9,2026-08-05 7:35,"Project Management, Software Testing, Time Management, Asana, Agile Project Management",hourly
freelancer,Part-Time ERP Implementation PM,https://www.freelancer.com/projects/agile-project-management/Part-Time-ERP-Implementation,750,1500,USD,750,1500,5,2026-08-05 8:19,"Project Management, Technical Writing, Business Analysis, SAP, Risk Management, Agile Project Management, Project Planning, Change Management",fixed
freelancer,pasarella de pago internacional,https://www.freelancer.com/projects/payment-gateway-integration/pasarella-pago-internacional,250,750,USD,250,750,147,2026-08-05 2:17,"PHP, Software Architecture, MySQL, HTML, Node.js, PostgreSQL, Payment Gateway Integration, API Integration",fixed
arbeitnow,Physics AI Training Expert (Germany),https://www.arbeitnow.com/jobs/companies/anyone-ai/physics-ai-training-expert-germany-berlin-278723,0,0,,0,0,0,2026-08-05 0:00,STEM,contract
freelancer,Polish Staggered App Store Reviews for Apple & Google,https://www.freelancer.com/projects/polish-translator/Polish-Staggered-App-Store-Reviews,30,250,USD,30,250,9,2026-08-05 7:51,"Data Entry, Polish Translator, Content Writing, Mobile App Testing, Digital Marketing, Social Media Management, App Store Optimization, App Development, User Experience Research, Content Moderation",fixed
freelancer,Polished Podcast Reels Editing -- 2,https://www.freelancer.com/projects/audio-editing/Polished-Podcast-Reels-Editing,1500,12500,INR,16,131,6,2026-08-05 8:09,"Editing, Final Cut Pro, Motion Graphics, Videography, Social Media Marketing, Video Production, Video Editing, Adobe Premiere Pro, Audio Editing, Visual Effects",fixed
arbeitnow,Product Manager,https://www.arbeitnow.co.uk/jobs/companies/tangible/product-manager-london-139754,0,0,,0,0,0,2026-08-05 5:27,"Remote, Project Management",contract
freelancer,Professional E-Commerce Product Photo Editing & Retouching (iPhone Source Photos),https://www.freelancer.com/projects/graphic-design/Professional-Commerce-Product-Photo,600,1500,INR,6,16,18,2026-08-05 8:13,"Graphic Design, Photoshop, Photo Editing, Image Processing, Digital Marketing, Photo Retouching, Product Photography, Visual Design, Adobe Photoshop, Background Removal",fixed
freelancer,Promotional Video Editor Needed,https://www.freelancer.com/projects/adobe-premiere-pro/Promotional-Video-Editor-Needed-40627274,10,30,AUD,7,21,29,2026-08-05 7:59,"Video Services, After Effects, Final Cut Pro, Sound Design, Video Production, Video Editing, Adobe Premiere Pro, DaVinci Resolve, Video Post-editing, Audio Editing",fixed
arbeitnow,Python Developer - Remote in Germany,https://www.arbeitnow.com/jobs/companies/anyone-ai/python-developer-remote-in-germany-berlin-319060,0,0,,0,0,0,2026-08-05 0:00,Software Engineering,contract
freelancer,Quick Assistance for Indian Digital Service Activation,https://www.freelancer.com/projects/account-management/Quick-Assistance-for-Indian-Digital-40627237,400,750,INR,4,8,2,2026-08-05 7:56,"Data Entry, Virtual Assistant, Account Management, Administrative Support, Payment Processing",hourly
freelancer,Realistic 3D & 2D House Visuals,https://www.freelancer.com/projects/2d-drafting/Realistic-House-Visuals,30,250,USD,30,250,39,2026-08-05 8:03,"3D Rendering, 3ds Max, 3D Modelling, 3D Animation, 3D Design, 2D Drafting, 3D Architecture, Architectural Visualization",fixed
freelancer,Remote Job Search Partner (Success Fee – 25% of First Month's Salary),https://www.freelancer.com/projects/content-marketing/Remote-Job-Search-Partner-Success,1500,12500,INR,16,131,1,2026-08-05 7:40,"SEO, Content Marketing, Content Strategy, Talent Acquisition, Career Coaching, Interview Coaching",fixed
freelancer,Roof Waterproofing CAD Detailing,https://www.freelancer.com/projects/3d-cad/Roof-Waterproofing-CAD-Detailing,12,18,EUR,14,21,25,2026-08-05 7:40,"CAD/CAM, Building Architecture, AutoCAD, Roofing, Building Design, Building Engineering, 3D CAD",hourly
freelancer,Sales Performance Dashboard using Power BI,https://www.freelancer.com/projects/power-bi/Sales-Performance-Dashboard-using-Power,750,1250,INR,8,13,5,2026-08-05 7:38,"Excel, SQL, Data Mining, Data Warehousing, Data Analytics, Business Analytics, Data Governance, Power BI, ETL, Data Modeling",hourly
arbeitnow,Senior UX/UI Designer,https://www.arbeitnow.co.uk/jobs/companies/tangible/senior-ux-ui-designer-london-237023,0,0,,0,0,0,2026-08-05 5:26,"Remote, Graphic Arts and Communication Design",contract
freelancer,Shopify Baby Landing Page Build,https://www.freelancer.com/projects/shopify-site/Shopify-Baby-Landing-Page-Build,20,250,GBP,27,336,55,2026-08-05 8:20,"Website Design, Graphic Design, HTML, Shopify Templates, Shopify, UX / User Experience, UI / User Interface, Web Design",fixed
freelancer,Small Parking & Courtyard Site Prep,https://www.freelancer.com/projects/3d-design/Small-Parking-Courtyard-Site-Prep,30,250,EUR,35,288,25,2026-08-05 8:07,"Building Architecture, 3D Rendering, Home Design, Civil Engineering, 3D Modelling, 3D Design, Excavation, 3D Visualization",fixed
freelancer,Social Media Specialist for Dr. J's HealthVitals,https://www.freelancer.com/projects/social-media-management/Social-Media-Specialist-for-HealthVitals,1500,12500,INR,16,131,24,2026-08-05 7:36,"Graphic Design, Facebook Marketing, Animation, Videography, Video Editing, Social Media Management, Instagram Marketing, Content Creation, Canva, CapCut",fixed
freelancer,Software Developer  to  make exe file  programmed  that convert PDF Bank Statements to Excel in my website,https://www.freelancer.com/projects/optical-character-recognition/PDF-Bank-Statements-Excel,1500,12500,INR,16,131,41,2026-08-05 7:34,"Visual Basic, Data Entry, Excel, PDF, OCR, Data Extraction, Data Analysis, Data Management",fixed
arbeitnow,Software Engineering AI Trainer (Germany),https://www.arbeitnow.com/jobs/companies/anyone-ai/software-engineering-ai-trainer-germany-berlin-428271,0,0,,0,0,0,2026-08-05 0:00,Software Engineering,contract
freelancer,Spanish Two-Speaker Script Recording online(need native speaker),https://www.freelancer.com/projects/voice-acting/Spanish-Two-Speaker-Script-Recording,30,250,USD,30,250,0,2026-08-05 8:02,"Voice Talent, Spanish Translator, Audio Production, Audio Editing, English Translation, Voice Over, Voice Acting, Voice Modulation and Audio Programming",fixed
freelancer,Stakeholder PowerPoint Presentation,https://www.freelancer.com/projects/business-analysis/Stakeholder-PowerPoint-Presentation,12500,37500,INR,131,393,31,2026-08-05 8:08,"Graphic Design, Powerpoint, Business Analysis, Presentations, Content Writing, Visual Design, Content Development",fixed
freelancer,Storytelling Social Media Graphics,https://www.freelancer.com/projects/logo-animation/Storytelling-Social-Media-Graphics,150000,250000,INR,1573,2622,7,2026-08-05 8:15,"Graphic Design, Logo Animation",fixed
freelancer,TIA Portal S7-1200 Programming,https://www.freelancer.com/projects/automation/TIA-Portal-Programming,600,1500,INR,6,16,2,2026-08-05 8:02,"Project Management, Technical Writing, Software Testing, Debugging, Automation",fixed
freelancer,Unique Brand Name Creation for F&B,https://www.freelancer.com/projects/copywriting/Unique-Brand-Name-Creation-for,750,1250,INR,8,13,13,2026-08-05 7:38,"Copywriting, Legal, Branding, Ghostwriting, Legal Research, Creative Writing, Marketing Strategy, Domain Research",hourly
freelancer,USCIS Certified Translator Required,https://www.freelancer.com/projects/certified-translation/USCIS-Certified-Translator-Required,10,30,USD,10,30,0,2026-08-05 7:46,"Translation, Editing, Transcription, English (UK) Translator, Spanish Translator, English (US) Translator, Legal Translation, Certified Translation",fixed
freelancer,Web Scraping and PDF Data Extraction with API Integration,https://www.freelancer.com/projects/mysql/Web-Scraping-PDF-Data-Extraction,2500,5000,INR,26,52,35,2026-08-05 7:36,"PHP, Python, Web Scraping, Software Architecture, MySQL",fixed
freelancer,Women's Health Directory Site,https://www.freelancer.com/projects/supabase/Women-Health-Directory-Site,250,750,AUD,176,528,217,2026-08-05 8:01,"PHP, Web Scraping, MySQL, Data Mining, Web Development, Data Extraction, Database Management, API Integration, Web Application, Supabase",fixed
freelancer,WordPress Developer needed,https://www.freelancer.com/projects/seo/WordPress-Developer-needed-40627214,100,400,INR,1,4,80,2026-08-05 7:36,"PHP, SEO, WordPress, CSS, HTML, Web Development, WordPress Multilingual, WordPress Plugin",hourly
freelancer,寻找熟悉数字广告行业的合作伙伴，帮助对接稳定可靠的 Google Ads 和 Facebook Ads 账户资源渠道。,https://www.freelancer.com/projects/google-ads/Google-Ads-Facebook-Ads-40627233,30,250,USD,30,250,11,2026-08-05 7:44,"Internet Marketing, Facebook Marketing, Advertising, Social Media Marketing, Digital Marketing, Account Management, Google Ads, Facebook Ads",fixed
